SiteID,Pasture,Date,Year,Season,biomass_lb_ac,biomass_kg_ha,Lat,Long,_geometry,sitePhotos,ID,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
FE-01,Campbell Springs,2023-10-13,2023,October,1156.0,1295.7604,40.81234792,-105.207515,SRID=4326;POINT(-105.20751503041302 40.812347917656446),"2023_RobertsRanch_USDA-ARS-27.jpg, 2023_RobertsRanch_USDA-ARS-28.jpg",FE-01_2023-10-13,0.26220495370597513,15.99149530098454,0.1582258768111139,0.1773310373275441,-0.012693852428552735,0.1613270688975504,15.466842374021972,0.07344118983441572,0.5439783524436695,0.4141607190105641,0.16771926714668217,-0.17059728370088886,0.1493240239810143,0.3986559001500136,0.04264960596224785,-0.25444921714939617,148.68347120553918,145.27468366275227,134.82049633228016,144.68301606018065,134.10697345189806,133.12915182457104,623.2497791568734,921.2716765950593,1293.548976194101,2206.8576468320607,3115.9078348316834,2263.3142483405823
FE-02,Campbell Springs,2023-10-13,2023,October,1054.0,1181.4286,40.81524434,-105.2019108,SRID=4326;POINT(-105.20191083218589 40.815244337721715),"2023_RobertsRanch_USDA-ARS-25.jpg, 2023_RobertsRanch_USDA-ARS-26.jpg",FE-02_2023-10-13,0.27085076083609216,18.982582849573504,0.1977895552251232,0.18506986993279662,0.036078175208275116,0.16412993223931693,15.772799718892092,0.07830138594304728,0.5402389638942469,0.4151667760774542,0.15903068317458888,-0.16288141151779276,0.15264939557663867,0.38362781766994786,0.04607720871134707,-0.23465932405397166,147.95108633030236,145.02438517075566,133.162182466358,144.68829833520675,132.30360382614637,130.6783933552352,613.9360461164883,899.8436487801622,1246.647313642293,2166.1109085140974,3010.4736007607085,2014.8148146048525
FE-03,Upper Campbell Vally,2023-10-13,2023,October,1054.0,1181.4286,40.82179557,-105.1990793,SRID=4326;POINT(-105.19907926349288 40.8217955673524),"2023_RobertsRanch_USDA-ARS-21.jpg, 2023_RobertsRanch_USDA-ARS-22.jpg",FE-03_2023-10-13,0.24343321203468835,17.68691037395623,0.16974052982617552,0.1534285489225222,0.033103873066957834,0.16102954695685176,15.29539923902886,0.07451014448797512,0.49737571419543636,0.36822257420325855,0.16592453683109573,-0.13737390706028474,0.15229645983932893,0.4402203972640998,0.045162328835642196,-0.2517410800914224,144.47205581126016,140.74323565241372,130.40174155003118,140.16650114003113,129.9277204275141,129.32290071256034,760.8759371672312,1092.71067861094,1503.188701895678,2465.304786065082,3250.822844231654,2306.3740571697695
FE-04,Upper Campbell Vally,2023-10-13,2023,October,986.0,1105.2074,40.82038633,-105.1969489,SRID=4326;POINT(-105.1969488811203 40.82038633308888),"2023_RobertsRanch_USDA-ARS-23.jpg, 2023_RobertsRanch_USDA-ARS-24.jpg",FE-04_2023-10-13,0.2401060191182266,16.618717066610646,0.15667276104675512,0.16906622063127075,-0.015408792984370477,0.15916882927781004,15.113130419600639,0.07428310206345819,0.5172773896898787,0.3953998650838428,0.16283259885574544,-0.1716794489628544,0.15122159555227535,0.4543971615939244,0.040564598992497945,-0.28138730226627,145.8756980208744,142.95592416458285,133.14997526102698,142.9123014085415,132.83462569229755,132.20804176000158,773.1036376813978,1109.9532831999434,1512.5339588663894,2464.517899612388,3485.9053942327596,2540.632381254093
FE-05,Horsehoe North,2023-10-13,2023,October,1088.0,1219.5392,40.82893058,-105.1809275,SRID=4326;POINT(-105.18092750364805 40.82893057841773),"2023_RobertsRanch_USDA-ARS-31.jpg, 2023_RobertsRanch_USDA-ARS-32.jpg",FE-05_2023-10-13,0.26658086529301445,19.378559064865833,0.2004284954255665,0.16363854708212863,0.07680967192151637,0.16777137298508926,16.034975176146443,0.07973599445060112,0.5126827470250758,0.3792608873764177,0.16452512127333294,-0.12555835542920885,0.153939199396793,0.3971333697833105,0.051364923605379566,-0.2228605683876027,142.31320632194885,140.1918058107659,128.91430612291126,140.92372799096432,128.64390594497394,127.4427824665426,621.6390537346291,959.2673597739866,1339.8834043049626,2305.9396362315833,2966.5708406000454,1974.4733072471972
FE-06,Horsehoe North,2023-10-13,2023,October,714.0,800.3226,40.83033399,-105.1799918,SRID=4326;POINT(-105.1799917797434 40.830333988968206),"2023_RobertsRanch_USDA-ARS-29.jpg, 2023_RobertsRanch_USDA-ARS-30.jpg",FE-06_2023-10-13,0.24862403869003621,17.983042819213495,0.17503316941602515,0.16098827408119762,0.027843311734219077,0.1584055442196377,15.118177677562361,0.07736568594984258,0.4959732022529322,0.37989056308549163,0.15187581714507203,-0.14699869805094112,0.15018649614512983,0.4200206335749188,0.042093689265437134,-0.24384434942776162,144.3436165161791,143.11416749208854,132.52551516687856,144.3723974177647,132.399935931332,131.00693311396859,731.7674466011969,1058.7838852520908,1413.2363700195417,2334.488269835965,3142.0423707215077,2205.7680581664063
FE-07,Horsehoe North,2023-10-13,2023,October,884.0,990.8756,40.81859712,-105.1676411,SRID=4326;POINT(-105.16764109747054 40.81859712377868),"2023_RobertsRanch_USDA-ARS-33.jpg, 2023_RobertsRanch_USDA-ARS-34.jpg",FE-07_2023-10-13,0.21908199429941647,17.35594065490596,0.1565067563547427,0.13358061758572942,0.024799655393594598,0.15270685640035955,14.436636236436593,0.07470441584179963,0.45348121136960257,0.3411149977432599,0.15032425541920444,-0.13213575407457084,0.14808972684112306,0.48551665270527095,0.03885535212461891,-0.2660975606740217,139.62073426277755,139.00308699184384,130.06802519043086,141.18130499383665,130.73186233609664,130.04876390300734,906.98690797063,1302.0071292666496,1701.7317719538667,2653.547467099739,3465.943962490254,2528.42124113767
T-106,Red Nose,2023-10-13,2023,October,646.0,724.1014,40.87709,-105.23915,SRID=4326;POINT(-105.23915 40.87709),"2023_RobertsRanch_USDA-ARS-46.jpg, 2023_RobertsRanch_USDA-ARS-45.jpg",T-106_2023-10-13,0.27269419350925145,15.545645817448973,0.15732340414736984,0.17141561536080613,0.0035388869189706424,0.16350427087590028,15.735367340874195,0.07913786875273639,0.5326491838378484,0.409251465500309,0.15565937381380823,-0.15386176083408074,0.15216073453382173,0.37661257047536195,0.04356717456552138,-0.23450215303966734,149.0718519987987,146.9477859979187,135.18169630801322,147.13910479557882,134.40250547902218,132.57039170593887,598.8315972298922,882.1341431717381,1213.0423652619115,2121.09480553138,2893.3218497288935,2107.3128807086036
T-111,Horsehoe North,2023-10-13,2023,October,680.0,762.212,40.81559,-105.16849,SRID=4326;POINT(-105.16849 40.81559),"2023_RobertsRanch_USDA-ARS-54.jpg, 2023_RobertsRanch_USDA-ARS-53.jpg",T-111_2023-10-13,0.27674104663350546,16.320644637844797,0.16789197636655354,0.178535802079254,0.02279076902452669,0.18558656334711315,17.600282535396943,0.10232404743028094,0.5215279868475932,0.4055891510414885,0.14540909980004563,-0.14556289808525338,0.17650277197919073,0.4562484420564489,0.05456758256165981,-0.2768993624187089,144.23290027599586,143.0793112362387,128.5710709184275,144.49892594484731,127.98185533430927,125.67375832727089,739.1846587690821,1092.5269088766313,1470.4685043827142,2590.488895557922,3478.8129346074,2479.064995809356
FE-08,CR80 West,2023-10-07,2023,October,1088.0,1219.5392,40.848061,-105.218514,SRID=4326;POINT(-105.218514 40.848061),2023_RobertsRanch_USDA-ARS-13.jpg,FE-08_2023-10-07,0.2834268058415225,17.444295592413763,0.1849387789201735,0.17966898122215713,0.03228379307813832,0.16425639079686066,15.906317250573958,0.08188570915234446,0.5367196228286525,0.4188380798884797,0.14758277421283644,-0.15362067991085832,0.15171785702937515,0.3545890451368033,0.04528144676435517,-0.21768752867967092,147.36901601435363,147.1891413303809,134.7789821402557,149.01779903809893,134.27946016465097,131.8785256209214,545.8691266325588,833.0244338896174,1132.8579895680214,2026.3284328886848,2759.5909103326394,1896.6379593530662
