Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
FE-01,2023-05-21,0.33627019089574156,9.73469929255442,0.10863897097166696,0.2032196802232,-0.05972308328166977,0.2043426531826294,19.6221652366813,0.13679999999999998,0.5409519207538053,0.4767307247047928,0.07912087912087912,-0.16727672035139093,0.20645510277677606,0.40534079000000006,0.04986832000000002,-0.28098270000000003,154.94481078566562,161.02885234022338,137.30895666724516,167.71748216458602,135.735267921021,129.36248184598276,692.0,950.0,1130.0,2275.0,3189.0,2564.0
FE-01,2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-05-25,0.36013590033975085,8.565709065133996,0.10015731515469324,0.19742913657432368,-0.03456591639871383,0.22362869198312246,21.403104102726854,0.15571200000000004,0.53474762253109,0.4715922375496844,0.07327227310574522,-0.1342584249414309,0.22379394067349315,0.4111239300000001,0.060160470000000014,-0.27672121000000005,151.58910920729105,159.4426465248349,133.37185024282195,168.30001592556175,131.96035334980746,125.2846938662519,663.0,954.0,1130.0,2402.0,3147.0,2574.0
FE-01,2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-05-31,0.3834676216054909,9.299849653931053,0.11649755730928223,0.20530650821856955,-0.007067894624116514,0.2308106813555263,22.198105634559354,0.15742799999999998,0.5526522079958192,0.484015984015984,0.07635893011216566,-0.12346379277746265,0.22558106874517236,0.38433445000000005,0.06575836000000002,-0.25774101000000005,151.04947467643944,158.55723138672965,131.73432616568292,167.06341527890683,130.19814975485448,123.5265548949884,570.0,856.0,1033.0,2318.0,2971.0,2351.0
FE-01,2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-06-09,0.47944377267230953,9.937720490730007,0.1644387863356673,0.22978939570017434,0.1082427536231884,0.28635050553683195,27.575311846981585,0.219648,0.5463510848126233,0.5223300970873787,0.02288516550878627,-0.057214409554999034,0.2987830149579895,0.36441341000000005,0.09130912000000002,-0.22323655000000003,154.83012354956165,168.22205880603747,124.38743933977196,181.78120808461892,121.49710242087127,112.79211444873522,579.0,805.0,861.0,2447.0,2744.0,1969.0
FE-01,2023-06-10,0.4634146341463415,9.743418116912093,0.15322269394056348,0.22636557377049177,0.09786184210526316,0.2932708983697538,27.9934661366088,0.226344,0.5493907181747472,0.5064280312578775,0.04119850187265917,-0.05620360551431601,0.2991014574784209,0.39938346,0.09798639000000002,-0.24505167000000003,150.13187976642337,161.93612025898298,121.39552498526058,174.97826400113274,119.01994624240152,111.32194705777954,588.0,869.0,979.0,2670.0,2988.0,2194.0
